Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
21520183,Leah Marsh,4,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,CE 636-Traffic and Roadway Engineering,HS 643-Indian and Western Cultural Theory,
22110905,Bo Lewis,3,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,
23510161,Ellie Green,4,CS 303-Mathematical Foundations for AI,EH 617-Advanced Field Techniques in Earth Sciences,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials
19510448,Anthony Salinas,4,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,,
21520951,Royalty Quinn,2,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,,,
19510732,Rhys Church,1,ES 613-Modern Control Theory,,,,,
19510322,Ayleen Trejo,3,MA 605-Commutative Algebra,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,EH 617-Advanced Field Techniques in Earth Sciences
19520051,Wesson Parrish,1,CL 628-Liquid State Theory,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,,
19510183,Tiana Larson,3,MA 605-Commutative Algebra,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,
19520445,Rafael Cohen,1,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,CE 624-River Engineering,,,
21510580,Destiny Ware,2,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences
21520595,Tadeo Owens,4,MSE 310-Physics of Materials,ME 636-Fuel Cell and Battery Systems,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,MS 404-Neuromarketing,
23110887,Amaya Roberson,1,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,
20510187,Shepherd Willis,1,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,MA 605-Commutative Algebra
20510668,Alexa Ramirez,4,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,EH 614-Physics of the Lithosphere,HS 649-Public Policy and its Impact Evaluation,,
22520967,David Hanna,3,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,ES 415-Nature-inspired Materials Design,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics
19520561,Cynthia Espinosa,3,MSE 625-Thermodynamics of thin film growth,MSE 401-Introduction to Polymer Physics and Processing,PH 607-Topics in Quantum and Statistical Mechanics,HS 632-A Multilingual Nation,MSE 209-Material Thermodynamics and Kinetics,
22510080,Khalid Moyer,3,HS 632-A Multilingual Nation,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,,
19110624,Zola Trejo,2,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,,,,
19520257,Wesson Stanton,2,CS 303-Mathematical Foundations for AI,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,,
23510192,Jaycee Mills,1,ES 623-Biomolecular Materials Science,ME 636-Fuel Cell and Battery Systems,,,,
23110973,Alex Deleon,2,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,CE 636-Traffic and Roadway Engineering,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory
21510886,Gabrielle Peck,2,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,ES 623-Biomolecular Materials Science
20110245,Yousef Singleton,2,CH 401-Food Chemistry,CS 303-Mathematical Foundations for AI,EH 614-Physics of the Lithosphere,MS 404-Neuromarketing,,
21520109,Malaysia Huynh,1,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,MSE 625-Thermodynamics of thin film growth,,,
19520885,Layton Gonzalez,4,CE 636-Traffic and Roadway Engineering,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,
20510429,Abigail Gomez,1,CL 604-Advanced Reaction Engineering,ES 415-Nature-inspired Materials Design,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications
20110525,Isaiah Olson,1,MSE 209-Material Thermodynamics and Kinetics,EH 614-Physics of the Lithosphere,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,,
22510618,Isabel McMillan,4,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,,
21520536,Rocky Nava,4,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,MSE 310-Physics of Materials,CL 628-Liquid State Theory
23520291,Scout Lozano,3,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,
22110124,Boone Noble,3,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,ES 415-Nature-inspired Materials Design,,
19510813,Hunter Maxwell,1,CL 221-Chemical Engineering Thermodynamics,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,ME 636-Fuel Cell and Battery Systems,MS 404-Neuromarketing,MA 624-Partial Differential Equations
21510508,Eden Hawkins,4,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics
22520328,Ariel Gates,2,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,,
19110746,Ermias Keller,3,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,MSE 310-Physics of Materials,
22520915,Logan Barber,3,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,,
21510554,Solomon Davidson,1,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,,
20510453,Jayla McMillan,3,MS 404-Neuromarketing,CE 304-Concrete Design,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,ES 243-Biology for Engineers,
22110055,Rocky Vu,4,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,MA 605-Commutative Algebra,CE 304-Concrete Design,,
20520153,Kimora Sloan,2,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,CH 401-Food Chemistry,,
21510459,Ocean Villalobos,1,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,CH 401-Food Chemistry,MSE 310-Physics of Materials,CL 628-Liquid State Theory,ME 321-Mechanics of Deformable Bodies
21520329,Zoya Corona,4,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,PH 607-Topics in Quantum and Statistical Mechanics,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory
20520810,Darian Lin,2,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,HS 632-A Multilingual Nation,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering
19110527,Makenna Flores,2,HS 643-Indian and Western Cultural Theory,PH 607-Topics in Quantum and Statistical Mechanics,,,,
23110705,Lincoln Moss,3,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,ES 415-Nature-inspired Materials Design,,,
22510533,Bianca Cervantes,3,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,EH 614-Physics of the Lithosphere,ME 636-Fuel Cell and Battery Systems,MSE 625-Thermodynamics of thin film growth,
22510964,Kamari Higgins,3,CL 221-Chemical Engineering Thermodynamics,ES 243-Biology for Engineers,MA 624-Partial Differential Equations,MA 605-Commutative Algebra,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory
23520814,Leighton Barron,2,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,MA 605-Commutative Algebra,MSE 209-Material Thermodynamics and Kinetics,
23520942,Dustin Ray,3,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,CE 304-Concrete Design,,,
23510108,Ruth Peterson,2,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,ES 613-Modern Control Theory
19110088,Santiago Nava,1,CE 636-Traffic and Roadway Engineering,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,CS 303-Mathematical Foundations for AI,ES 613-Modern Control Theory,EH 614-Physics of the Lithosphere
22510249,Scout Johns,2,CS 303-Mathematical Foundations for AI,MSE 310-Physics of Materials,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications,MSE 625-Thermodynamics of thin film growth
20110458,Joziah Meza,1,EH 614-Physics of the Lithosphere,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,PH 607-Topics in Quantum and Statistical Mechanics,,
20510347,Rosa Gomez,1,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,,,
20520462,Isaiah Trevino,3,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,MS 404-Neuromarketing,HS 649-Public Policy and its Impact Evaluation,,
20520440,Priscilla Mosley,2,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,CH 401-Food Chemistry,,,
19510644,Rayden Munoz,1,MSE 209-Material Thermodynamics and Kinetics,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,CH 401-Food Chemistry
22520383,Kehlani Mendoza,3,CL 628-Liquid State Theory,CE 636-Traffic and Roadway Engineering,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,,
23110300,Dominic Howell,4,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,ES 613-Modern Control Theory
19110634,Mckenna Hobbs,4,CL 221-Chemical Engineering Thermodynamics,CG 506-Experimental Techniques in Cognitive Science,MA 624-Partial Differential Equations,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra
20110282,Brendan Yu,3,MSE 310-Physics of Materials,MA 603-Nonlinear Analysis with Applications,HS 632-A Multilingual Nation,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences
21510906,Navy Kline,1,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation,,,,
23520082,Ramon Truong,2,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,,
20110271,Judith Nicholson,4,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,,
20510458,Rodrigo Alvarado,1,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,,,,
21520200,Blake Daniel,2,ME 636-Fuel Cell and Battery Systems,HS 643-Indian and Western Cultural Theory,,,,
21520571,Grady Macdonald,2,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,
19110097,Rosalia Lloyd,4,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,MA 605-Commutative Algebra,ES 613-Modern Control Theory,,
22510699,Zaire Mills,2,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,
21520567,June Portillo,2,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,CH 401-Food Chemistry,,
23110707,Wallace Goodman,3,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,EH 617-Advanced Field Techniques in Earth Sciences,CG 506-Experimental Techniques in Cognitive Science
22510350,Carolina Kaur,3,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,,
19110368,Augustine Maddox,2,CG 506-Experimental Techniques in Cognitive Science,CS 303-Mathematical Foundations for AI,CL 221-Chemical Engineering Thermodynamics,EH 617-Advanced Field Techniques in Earth Sciences,MS 404-Neuromarketing,
23520208,Zainab Thompson,2,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers
23510178,Theodore Williams,2,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,HS 632-A Multilingual Nation,,,
23510944,Ava Flynn,2,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,,,,
21510993,Kannon Lucero,1,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,,,,
23520260,Ila Elliott,1,MSE 625-Thermodynamics of thin film growth,ES 623-Biomolecular Materials Science,,,,
23520738,Blake Donovan,2,CS 303-Mathematical Foundations for AI,ES 415-Nature-inspired Materials Design,ES 243-Biology for Engineers,,,
22510932,Azariah Bean,3,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,CL 628-Liquid State Theory,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,
21510689,Mccoy Garcia,1,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,CE 636-Traffic and Roadway Engineering,,
22520568,Amelia Hoffman,4,ES 243-Biology for Engineers,CE 636-Traffic and Roadway Engineering,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory
20110835,Steven Proctor,4,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory
